,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19113,58722,222984,190640,163675,178640,120925,59988,96902,53414,41660,75503,7488,0,0,204269,240046,243457,289171,170062,16710,0,2988,44132,282562,342445,94125,0,7839,0,5003,0,10101,0,0,0,0,0,5589,0,0,0,0,0,0,0,2214,18480,14121,43148,7019,125613,87023,18140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40816,87960,141480,96996,55863,96363,131941,55406,38507,164203,97500,78890,34406,7007,5085,16816,30164,7886,0,1347,6632,0,13183,0,0,2496,78386,128695,85488,2109,2601,2496,1828,10664,23437,79136,35800,6820,0,6246,9128,0,6140,36773,12386,3738,1628,13898,14003,88652,25546,9304,5765,960,22359,29789,3070,3550,14484,27281,0,0,0,7886,7007,1441,3082,0,0,0,0,0,10863,3363,0,0,0,0,8847,3550,0,0,0,3656,0,0,7968,11144,50203,19183,5273,0,4417,45199,13160,3562,867,9796,1828,0,2214,1054,0,0,21128,43699,47636,38050,104894,44179,34464,2976,1242,0,12878,3164,1054,0,0,4406,0,6527,37851,29871,0,1441,1347,10757,7675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3363,0,13535,4019,1734,5191,3070,0,0,0,960,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3843,78234,135292,208792,147925,99210,116296,69105,134812,135679,93597,18246,9996,16265,35250,248378,258398,260625,303703,304722,209929,15328,0,0,77542,139523,31757,0,7699,0,0,0,4710,0,0,0,2601,0,0,0,4710,0,11917,0,4429,0,0,0,0,0,9808,10769,45515,54457,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113824,184019,89765,130863,94417,143343,41777,59835,29695,62636,180468,84726,19324,19898,29015,19007,7312,62472,14906,70382,2789,0,0,0,0,0,7605,0,2988,0,49710,160160,3843,4125,19207,80988,52148,0,0,0,0,0,0,0,0,4605,33046,37746,40968,87257,19417,2496,0,1242,2484,9398,0,0,5191,20554,16324,0,0,15375,32062,3937,0,0,5472,0,0,0,7968,1347,0,0,0,0,0,3937,1828,0,2882,1242,12398,18152,25734,52031,70089,4511,24187,22757,13453,53167,25148,2015,0,0,17261,28359,2976,5378,12972,18468,1054,9023,162878,100816,10289,9222,6621,21984,34300,24597,16324,3257,6152,0,0,0,0,16417,40523,30632,5765,10382,3843,5378,6351,3457,1347,0,0,0,0,0,2402,1628,1148,0,0,0,0,0,0,0,0,0,0,2789,0,19218,0,1535,0,0,0,0,8613,1148,4031,0,1242,960
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26976,69761,124640,111199,37078,34992,19031,37148,102152,45726,7195,1734,33527,1628,0,107953,283652,280417,318832,168023,81421,282304,81914,0,0,15468,16230,2109,0,1921,0,0,0,0,0,0,0,2988,0,0,0,0,30996,0,0,2601,0,0,0,0,0,5378,39386,22476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51199,83742,59437,63550,108703,92824,80273,90632,62519,89988,84585,24796,84527,227964,37101,54351,43675,59332,199816,72457,1628,4324,4136,5484,0,0,0,10968,13710,92824,17097,19406,20953,67488,66656,34078,56179,84316,20660,0,0,0,0,0,0,0,0,26425,68519,170683,27949,14296,22148,30632,71753,41179,16488,0,1734,1441,17015,0,6035,17578,60972,1347,0,0,0,0,0,0,0,4898,0,0,0,0,2496,0,53261,13921,28957,4136,12292,2683,11226,135515,134449,39480,14296,36210,69093,83917,4710,17484,1054,0,11226,8062,0,0,2589,0,0,0,66082,35554,62425,4031,0,0,17097,48574,10453,0,960,1242,0,8742,20648,46312,23625,1347,1628,761,4417,7007,11437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2308,10089,5390,0,0,0,0,0,1242,5742,0,2496,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242,25066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44507,198328,177234,71390,30820,18035,12480,39750,37453,2589,37828,2882,0,0,126117,226031,303023,273082,69269,65859,255656,146683,8378,0,20730,83437,96843,74273,61535,43910,0,3070,0,0,0,0,0,0,0,0,0,2109,53449,40160,15386,0,3550,0,0,0,30550,12386,81117,24375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45574,121863,75667,21328,8835,48117,106910,178593,111222,174375,153269,39785,30703,60328,177937,68871,42503,52441,146519,100640,32191,29707,77765,135937,24515,4605,8753,14214,1535,11132,8261,1628,7875,55042,53988,37828,43511,61289,55265,26390,6996,0,0,0,0,0,0,0,0,28125,36714,24117,4617,39960,91265,55628,16113,1441,6714,9128,15925,17085,21621,6714,3750,18820,29203,11613,3070,0,3656,0,0,3738,2496,3164,0,0,0,1734,11613,8742,0,10195,10675,0,3070,16523,19875,3164,6820,0,23355,75796,17296,0,0,4417,2203,0,0,0,3070,2214,0,0,24503,47917,0,2589,9785,0,6140,0,0,0,0,0,0,5085,24398,13441,2296,21796,0,0,1628,7968,2789,0,0,0,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,5753,2296,0,1441,3937,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81011,59789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18808,104683,283394,223875,84234,90796,87738,54949,162785,18527,867,1535,0,0,0,1441,2695,51398,255726,300023,248777,303222,268769,125390,3468,39503,205945,144457,176882,29285,1628,45046,22101,33246,22382,15644,17003,0,4042,20390,0,0,95953,195503,100078,16230,15292,0,14812,0,0,31593,34289,143132,167953,19992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3257,110625,64523,113753,30867,23636,78351,40921,78269,122203,70628,59917,28523,70593,174738,285000,182226,96703,109089,71964,76347,51843,56039,51468,88429,15257,2496,7875,16535,12585,4136,20062,89753,108105,62917,18339,60621,99515,98953,19968,2695,0,0,0,0,0,0,0,0,8074,1628,7593,79195,56953,0,0,5261,3070,22289,2109,14964,1535,7687,1535,1828,0,0,4136,12691,0,3164,1628,2601,2976,14039,1734,1734,0,0,0,2296,0,0,0,0,0,0,16722,39761,26917,3562,14695,2683,11437,14203,0,4019,14121,1242,960,2789,2109,0,1441,13933,29507,118546,105339,2496,1921,6714,34746,43218,25746,5660,0,0,1148,7113,18925,14953,3164,1054,4417,10476,2777,0,10371,23332,8367,0,3457,2296,0,1054,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32859,0,2683,3457,0,0,0,0,0,3468,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9398,75644,99480,91289,26929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100968,296824,377132,230507,92941,32273,57726,115171,83214,78480,4125,0,0,0,15843,19898,6351,1148,12503,7195,177539,264785,26285,10570,58664,71953,19464,44203,23929,2214,10839,101191,4804,23437,15082,10652,10664,1628,1628,4699,17027,22371,51257,120292,31019,56542,131554,189035,1347,22394,82066,125062,50226,37113,70570,40722,10171,1242,3070,0,0,0,0,0,0,0,0,0,0,0,2390,90187,92308,106582,241359,226394,81480,69656,39937,47917,52746,22066,41402,164812,183925,263964,339222,263671,116414,119835,98859,122507,71824,53109,136347,209015,99375,32460,49394,20367,12082,2308,20355,86191,120679,96550,81937,62625,75808,159656,150375,30609,0,0,0,0,0,0,0,8648,4699,35343,4125,7019,5953,2882,3644,18070,15070,1828,10089,20167,2871,26578,1148,6152,0,4898,0,0,10183,2015,5191,5765,1628,3937,0,3468,3257,5003,11332,3457,11062,0,0,9703,10570,2496,53695,7875,1628,0,5472,3644,23753,24117,65437,0,12855,8449,6433,20824,12855,21539,22781,3457,1054,28031,6140,13921,3937,44003,11144,5085,5660,15644,3070,0,24187,3550,6714,15937,18339,0,0,5179,25277,35144,30609,0,0,0,0,0,0,11519,0,0,9503,2882,1816,0,0,0,0,0,0,7207,9996,12574,1441,17085,0,8437,6914,2496,7476,0,0,12093,5378,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10464,71167,162468,75609,5167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6539,284824,469136,314238,152203,48011,145183,76148,109839,6621,12984,0,0,0,0,5660,5085,4136,0,1148,5566,24093,0,13347,133710,135574,9386,92214,60621,39375,11613,63550,8929,11812,5578,1828,5191,0,1734,5378,6246,5378,4417,5085,0,47578,108386,105082,41765,17179,38519,20835,48597,26015,58875,30574,18433,29109,10839,17859,0,0,0,0,7195,35812,0,1628,3164,4324,5671,3246,7289,84140,131156,294503,104296,110261,87187,149800,40734,48515,91066,167941,282902,244359,356835,411890,143015,226382,141738,79781,89964,27175,35132,64910,1535,4125,7957,1535,0,0,63199,128718,142687,129878,162386,113039,21222,155062,312363,193687,47953,0,0,0,0,0,0,4125,30644,75925,5179,11238,7394,23039,20156,1734,4417,10570,8074,6714,4500,0,3363,3539,0,2484,17484,20355,6234,6820,8355,27363,0,6632,0,0,3164,0,10078,9117,29214,0,9011,6914,8929,0,40359,24070,6339,0,0,12011,1734,6246,11531,13558,5671,95027,25546,3550,1054,0,0,0,0,1535,41988,71718,23824,57433,26625,10089,0,0,8449,13640,7968,0,0,0,90105,21023,0,0,2015,7101,58804,9515,16992,30363,5378,13933,1347,3550,4710,0,0,11507,5847,9316,22183,7863,0,2390,2589,0,6621,2789,25640,19863,71554,71742,103300,55382,40125,46488,4699,6714,3925,1722,0,6046
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59296,195117,193804,23015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204433,284074,316335,175218,152191,101156,28101,73417,0,0,0,0,0,0,0,1734,13652,14027,4710,14507,12691,15457,140718,178382,117070,38707,301628,132714,122039,96914,132867,4324,7957,12878,24843,4230,9234,3937,0,1535,0,5953,4593,29378,36855,6433,9597,84093,76195,65589,12082,41320,19113,36761,55535,59894,15562,78937,28746,5566,0,0,8074,64429,96562,57351,12093,1734,4031,3457,24855,17179,27093,56203,71027,32167,85511,48949,75480,28921,26238,37746,290507,257308,292253,566179,575906,181933,82945,56835,38121,1628,0,0,0,3164,0,0,0,0,0,6902,36984,83953,160652,166101,203554,188039,168210,293531,234750,150492,43019,0,2015,12867,1921,0,4324,35519,7289,3949,1242,3082,2789,5566,1535,1734,0,6328,0,8531,10371,0,21035,3550,0,17261,7300,3949,0,4417,48480,25851,1148,5964,0,0,0,16125,9796,18164,0,1441,1242,18070,9890,10839,15363,960,4511,0,0,0,0,0,0,16429,11707,37183,9316,0,5085,761,0,0,3363,13335,960,17777,31113,64230,18808,25148,33785,5765,0,0,0,0,1054,12187,69714,5953,0,0,0,3550,12281,7382,10464,2203,0,1535,0,0,0,0,0,3843,25734,3164,48527,7968,18550,4113,4898,0,0,0,27750,48609,91722,72843,31066,12773,19488,27644,0,0,761,1054,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23238,1628,0,8332,197507,29542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12878,138398,112335,114164,99457,49839,22839,39128,0,0,0,0,0,0,0,0,2882,3937,11250,32742,49664,51058,186011,132738,22957,123972,265277,213000,125355,7851,26988,28031,14613,6925,56800,24585,5671,26144,21234,4804,20929,1441,3070,63210,59519,60843,25910,74179,86964,49429,35496,42445,27480,16699,79898,58605,69937,41625,9210,73992,5378,0,0,1242,94101,43511,18832,7781,0,0,0,12292,7183,0,1242,18937,42562,20742,43207,30433,72562,81925,223218,206167,302003,122367,33972,4136,0,0,0,0,0,0,0,8050,0,0,0,0,0,3363,0,0,0,0,0,48234,272015,456339,356003,305449,214898,10382,13148,38109,10464,22757,120187,111386,7394,0,13933,10464,1535,10371,0,1148,15960,1535,4980,2789,15000,23320,29085,20062,6527,5953,19300,2882,11906,17296,68777,56367,2203,9316,0,1441,7289,8250,11039,32261,32695,3269,15187,13347,32203,3457,33996,0,1828,5777,3269,7019,2789,8261,3070,0,1628,5179,1148,3070,3457,9023,11226,39632,50027,34382,55605,55300,1828,5472,0,0,0,13816,28066,0,1347,0,6515,21691,39082,2296,867,3644,0,5847,0,8542,4898,0,0,0,0,0,0,5003,0,5847,0,0,0,14308,1734,9609,1535,0,0,0,0,16886,54679,46371,61464,40394,29296,20273,12515,0,0,0,1148
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20988,132468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21597,165914,192773,129187,158964,25828,10171,43605,0,0,0,0,0,0,0,3363,14894,3843,3843,37722,13054,212718,70511,126796,387644,452062,315046,144269,115851,36000,30445,75199,37265,11613,8355,22675,7582,10839,3351,0,11238,7394,0,52535,8449,6140,14601,48339,25171,51468,149812,63761,36105,17847,154429,340289,112335,73945,22171,35156,76640,31968,0,0,0,0,0,0,0,19488,1535,1347,0,2976,6246,6925,4312,3175,27000,50015,65437,56531,112417,27292,91535,5472,0,0,0,0,0,0,0,0,0,0,3562,0,0,0,0,0,1535,0,114421,125285,79242,211546,154640,366832,641496,401707,274335,210070,115031,108398,110789,89917,148558,65917,32566,7593,4125,6914,3843,18152,13078,19992,14414,9023,11707,11906,1535,0,50132,48679,1921,0,1828,7394,6726,1441,43300,55464,35929,74835,27808,9984,16230,10945,13136,30726,69691,4910,2976,2109,52710,6914,6632,0,0,9515,20566,63328,15457,0,8929,12292,9433,0,0,21046,34031,24410,16722,16781,88171,98132,41273,33398,31875,15070,0,2214,3550,13453,16054,3949,21152,5085,14964,0,28031,1148,4699,1242,0,0,0,0,2882,1734,4792,0,4312,1921,2683,1347,8554,9199,0,0,0,8156,28242,23437,21644,7886,1734,0,0,0,58195,31992,23050,9503,16031,3632,2496,1054,0,1148,0
